id_estacion,estacion,datetime,O3,PM10,PM2.5
AGU,Aguilas,2024-01-01 00:00:00,0.014,75.0,55.4
AGU,Aguilas,2024-01-01 01:00:00,0.005,114.0,89.0
AGU,Aguilas,2024-01-01 02:00:00,0.017,107.0,48.7
AGU,Aguilas,2024-01-01 03:00:00,0.009,78.0,45.1
AGU,Aguilas,2024-01-01 04:00:00,0.002,81.0,55.7
AGU,Aguilas,2024-01-01 05:00:00,0.003,98.0,71.3
AGU,Aguilas,2024-01-01 06:00:00,0.004,119.0,69.9
AGU,Aguilas,2024-01-01 07:00:00,0.002,95.0,43.6
AGU,Aguilas,2024-01-01 08:00:00,0.007,107.0,61.9
AGU,Aguilas,2024-01-01 09:00:00,0.028,109.0,54.2
AGU,Aguilas,2024-01-01 10:00:00,0.043,84.0,28.6
AGU,Aguilas,2024-01-01 11:00:00,0.056,59.0,17.7
AGU,Aguilas,2024-01-01 12:00:00,0.052,35.0,3.4
AGU,Aguilas,2024-01-01 13:00:00,0.055,18.0,1.5
AGU,Aguilas,2024-01-01 14:00:00,0.06,17.0,2.9
AGU,Aguilas,2024-01-01 15:00:00,0.06,22.0,11.5
AGU,Aguilas,2024-01-01 16:00:00,0.052,18.0,11.2
AGU,Aguilas,2024-01-01 17:00:00,0.045,13.0,12.1
AGU,Aguilas,2024-01-01 18:00:00,0.039,24.0,3.2
AGU,Aguilas,2024-01-01 19:00:00,0.033,32.0,11.9
AGU,Aguilas,2024-01-01 20:00:00,0.033,25.0,11.1
AGU,Aguilas,2024-01-01 21:00:00,0.031,24.0,11.0
AGU,Aguilas,2024-01-01 22:00:00,0.03,25.0,4.8
AGU,Aguilas,2024-01-01 23:00:00,0.031,18.0,2.0
AGU,Aguilas,2024-01-02 00:00:00,0.029,10.0,
AGU,Aguilas,2024-01-02 01:00:00,0.023,9.0,2.1
AGU,Aguilas,2024-01-02 02:00:00,0.012,16.0,3.8
AGU,Aguilas,2024-01-02 03:00:00,0.005,21.0,9.8
AGU,Aguilas,2024-01-02 04:00:00,0.002,22.0,10.6
AGU,Aguilas,2024-01-02 05:00:00,0.003,24.0,11.2
AGU,Aguilas,2024-01-02 06:00:00,0.002,23.0,12.7
AGU,Aguilas,2024-01-02 07:00:00,0.001,35.0,16.3
AGU,Aguilas,2024-01-02 08:00:00,0.004,43.0,10.7
AGU,Aguilas,2024-01-02 09:00:00,0.01,49.0,8.2
AGU,Aguilas,2024-01-02 10:00:00,0.02,36.0,6.3
AGU,Aguilas,2024-01-02 11:00:00,0.024,36.0,14.0
AGU,Aguilas,2024-01-02 12:00:00,0.031,31.0,8.1
AGU,Aguilas,2024-01-02 13:00:00,0.039,26.0,7.4
AGU,Aguilas,2024-01-02 14:00:00,0.041,21.0,12.3
AGU,Aguilas,2024-01-02 15:00:00,0.041,22.0,15.5
AGU,Aguilas,2024-01-02 16:00:00,0.038,22.0,15.4
AGU,Aguilas,2024-01-02 17:00:00,0.031,32.0,9.4
AGU,Aguilas,2024-01-02 18:00:00,0.02,42.0,11.5
AGU,Aguilas,2024-01-02 19:00:00,0.018,42.0,17.7
AGU,Aguilas,2024-01-02 20:00:00,0.004,39.0,21.3
AGU,Aguilas,2024-01-02 21:00:00,0.006,45.0,14.0
AGU,Aguilas,2024-01-02 22:00:00,0.01,30.0,12.9
AGU,Aguilas,2024-01-02 23:00:00,0.002,46.0,15.9
AGU,Aguilas,2024-01-03 00:00:00,0.001,59.0,26.1
AGU,Aguilas,2024-01-03 01:00:00,0.001,47.0,18.2
AGU,Aguilas,2024-01-03 02:00:00,0.001,43.0,17.4
AGU,Aguilas,2024-01-03 03:00:00,0.001,43.0,19.8
AGU,Aguilas,2024-01-03 04:00:00,0.001,43.0,17.6
AGU,Aguilas,2024-01-03 05:00:00,0.001,35.0,19.3
AGU,Aguilas,2024-01-03 06:00:00,0.001,42.0,22.1
AGU,Aguilas,2024-01-03 07:00:00,0.001,51.0,16.2
AGU,Aguilas,2024-01-03 08:00:00,0.003,73.0,7.6
AGU,Aguilas,2024-01-03 09:00:00,0.011,83.0,18.4
AGU,Aguilas,2024-01-03 10:00:00,0.018,93.0,33.3
AGU,Aguilas,2024-01-03 11:00:00,0.032,98.0,15.7
AGU,Aguilas,2024-01-03 12:00:00,0.041,73.0,14.8
AGU,Aguilas,2024-01-03 13:00:00,0.055,51.0,30.9
AGU,Aguilas,2024-01-03 14:00:00,0.058,44.0,23.9
AGU,Aguilas,2024-01-03 15:00:00,0.049,23.0,32.1
AGU,Aguilas,2024-01-03 16:00:00,0.051,16.0,15.8
AGU,Aguilas,2024-01-03 17:00:00,0.048,20.0,13.0
AGU,Aguilas,2024-01-03 18:00:00,0.017,34.0,16.5
AGU,Aguilas,2024-01-03 19:00:00,0.005,52.0,22.1
AGU,Aguilas,2024-01-03 20:00:00,0.019,54.0,1.1
AGU,Aguilas,2024-01-03 21:00:00,0.027,42.0,
AGU,Aguilas,2024-01-03 22:00:00,0.026,36.0,8.8
AGU,Aguilas,2024-01-03 23:00:00,0.015,40.0,9.0
AGU,Aguilas,2024-01-04 00:00:00,0.022,34.0,1.6
AGU,Aguilas,2024-01-04 01:00:00,0.005,29.0,18.5
AGU,Aguilas,2024-01-04 02:00:00,0.001,47.0,19.3
AGU,Aguilas,2024-01-04 03:00:00,0.001,46.0,19.5
AGU,Aguilas,2024-01-04 04:00:00,0.001,46.0,14.4
AGU,Aguilas,2024-01-04 05:00:00,0.001,53.0,18.1
AGU,Aguilas,2024-01-04 06:00:00,0.001,52.0,16.4
AGU,Aguilas,2024-01-04 07:00:00,0.002,78.0,25.8
AGU,Aguilas,2024-01-04 08:00:00,0.007,118.0,2.1
AGU,Aguilas,2024-01-04 09:00:00,0.017,50.0,5.5
AGU,Aguilas,2024-01-04 10:00:00,0.026,31.0,8.4
AGU,Aguilas,2024-01-04 11:00:00,0.03,26.0,11.1
AGU,Aguilas,2024-01-04 12:00:00,0.034,18.0,7.2
AGU,Aguilas,2024-01-04 13:00:00,0.042,21.0,13.4
AGU,Aguilas,2024-01-04 14:00:00,0.048,20.0,24.6
AGU,Aguilas,2024-01-04 15:00:00,0.049,27.0,6.1
AGU,Aguilas,2024-01-04 16:00:00,0.045,22.0,4.7
AGU,Aguilas,2024-01-04 17:00:00,0.04,22.0,11.1
AGU,Aguilas,2024-01-04 18:00:00,0.027,21.0,16.5
AGU,Aguilas,2024-01-04 19:00:00,0.015,27.0,4.9
AGU,Aguilas,2024-01-04 20:00:00,0.014,42.0,3.0
AGU,Aguilas,2024-01-04 21:00:00,0.031,42.0,1.8
AGU,Aguilas,2024-01-04 22:00:00,0.035,26.0,3.3
AGU,Aguilas,2024-01-04 23:00:00,0.032,31.0,0.8
AGU,Aguilas,2024-01-05 00:00:00,0.029,32.0,
AGU,Aguilas,2024-01-05 01:00:00,0.029,18.0,
AGU,Aguilas,2024-01-05 02:00:00,0.027,10.0,
AGU,Aguilas,2024-01-05 03:00:00,0.019,9.0,0.2
AGU,Aguilas,2024-01-05 04:00:00,0.005,25.0,18.1
AGU,Aguilas,2024-01-05 05:00:00,0.002,36.0,14.3
AGU,Aguilas,2024-01-05 06:00:00,0.003,35.0,16.1
AGU,Aguilas,2024-01-05 07:00:00,0.002,59.0,25.8
AGU,Aguilas,2024-01-05 08:00:00,0.004,77.0,10.2
AGU,Aguilas,2024-01-05 09:00:00,0.016,42.0,
AGU,Aguilas,2024-01-05 10:00:00,0.016,22.0,8.1
AGU,Aguilas,2024-01-05 11:00:00,0.015,34.0,24.8
AGU,Aguilas,2024-01-05 12:00:00,0.035,29.0,9.4
AGU,Aguilas,2024-01-05 13:00:00,0.039,20.0,17.7
AGU,Aguilas,2024-01-05 14:00:00,0.042,22.0,13.6
AGU,Aguilas,2024-01-05 15:00:00,0.04,18.0,24.8
AGU,Aguilas,2024-01-05 16:00:00,0.041,25.0,13.9
AGU,Aguilas,2024-01-05 17:00:00,0.038,21.0,7.0
AGU,Aguilas,2024-01-05 18:00:00,0.025,21.0,
AGU,Aguilas,2024-01-05 19:00:00,0.013,29.0,10.7
AGU,Aguilas,2024-01-05 20:00:00,0.025,40.0,
AGU,Aguilas,2024-01-05 21:00:00,0.028,25.0,
AGU,Aguilas,2024-01-05 22:00:00,0.018,21.0,
AGU,Aguilas,2024-01-05 23:00:00,0.013,36.0,6.4
AGU,Aguilas,2024-01-06 00:00:00,0.03,30.0,5.6
AGU,Aguilas,2024-01-06 01:00:00,0.019,21.0,10.6
AGU,Aguilas,2024-01-06 02:00:00,0.015,16.0,2.9
AGU,Aguilas,2024-01-06 03:00:00,0.006,16.0,4.1
AGU,Aguilas,2024-01-06 04:00:00,0.002,18.0,8.6
AGU,Aguilas,2024-01-06 05:00:00,0.002,21.0,2.9
AGU,Aguilas,2024-01-06 06:00:00,0.001,23.0,13.3
AGU,Aguilas,2024-01-06 07:00:00,0.001,38.0,21.7
AGU,Aguilas,2024-01-06 08:00:00,0.005,38.0,12.2
AGU,Aguilas,2024-01-06 09:00:00,0.014,48.0,10.1
AGU,Aguilas,2024-01-06 10:00:00,0.024,39.0,13.0
AGU,Aguilas,2024-01-06 11:00:00,0.028,36.0,7.8
AGU,Aguilas,2024-01-06 12:00:00,0.036,24.0,6.9
AGU,Aguilas,2024-01-06 13:00:00,0.039,29.0,8.1
AGU,Aguilas,2024-01-06 14:00:00,0.038,13.0,3.5
AGU,Aguilas,2024-01-06 15:00:00,0.037,15.0,4.5
AGU,Aguilas,2024-01-06 16:00:00,0.037,16.0,7.3
AGU,Aguilas,2024-01-06 17:00:00,0.036,16.0,5.8
AGU,Aguilas,2024-01-06 18:00:00,0.032,19.0,8.8
AGU,Aguilas,2024-01-06 19:00:00,0.015,19.0,10.1
